page,api,dto,data_items,local_transform,displayed_value,mode_variation,risk
/cluster-4-card[-ec|-px]/[weekId],GET /api/career-records?week_id&user_id,"data[]:{project_id,enhancement_status,...}",주차 경력 프로젝트 레코드,"careerStats = min(len,5) / pending은 resultsDecided(=브라우저 시각 ≥ 주차시작+10d12h1m) 이후에만 enhanced 승격",실무 경력 허브 카운트,demoQS 부착 · 개인휴식이면 0 강제,high — 브라우저 시계 기반 상태 승격(의미 변경)
/cluster-4-card[-ec|-px]/[weekId],GET /api/weekly-reputations?targetUserId&weekCardId,"data[]:{id,rating,comment,keyword,createdAt,fromProfile}",주차 평판 목록,"displayedReputations=slice(0,4), 분자=표시배열 길이 우선, FM=표시 rating 합",주차 평판 카드 4칸 · 명성도,demoQS 부착,medium — precomputed summary 대신 표시배열 우선(의도된 정책)
/cluster-4-card[-ec|-px]/[weekId],POST/PUT/DELETE /api/weekly-reputations,"{success}",평판 작성/수정/삭제,삭제 후 refetch + weeklyCardsRefreshKey bump,평판 카드 갱신,demoUserId 부착 시 세션 없이 대상 고정,medium
/cluster-4-card[-ec|-px]/[weekId],GET /api/weekly-colleagues?userId&weekCardId,"data[]:{colleague{id,name,gender,age,profileImg,university,major,team,part,nickname,role,membershipLevel},rank,message}",연계 동료 목록,"displayedColleagues=slice(0,3), 각 필드 null→'-' 치환",연계 동료 3칸,demoQS 부착,medium
/cluster-4-card[-ec|-px]/[weekId],GET /api/crews?excludeUserId&org,"data[]:{id,name,organizationSlug,...}",동료 후보 목록,cardOwnerOrg 없으면 조회 자체 차단,동료 선택 모달,없음,medium — org 미확정 시 후보 0
/cluster-4-card[-ec|-px]/[weekId],GET /api/weekly-reviews?weekCardId&userId,"{data:{id,weekCardId,rating,content,created_at,updated_at}}",주차 리뷰,없음,주차 리뷰 모달,apiUrl 이 demoUserId 부착(세션 없이 조회),low
/cluster-4-card[-ec|-px]/[weekId],GET /api/cluster4/week-confirmations?weekId&userId,"{data:{confirmed}}",주차 확인 여부,confirmed===true 만 confirmed 처리(그 외 pending),주차 확인 버튼 상태,클라 viewerUserId 에 actAs 미포함,medium
/cluster-4-card[-ec|-px]/[weekId],POST /api/cluster4/week-confirmations,"{success}",주차 확인 저장,소유자 전용(어드민 우회 없음),확인 완료 표시,demoUserId 부착,medium
/cluster-4-card[-ec|-px]/[weekId],GET /api/cluster4/weekly-line-enhancement/?userId&weekId,"CrewWeekLineEnhancementDetailDto{seasonWeekTitle,periodText,statusText,statusClass,resultMessage,conditions[],points[],rows[]{stableKey,result,resultLabel,resultTone,lineName,hub,hubLabel,kind,growthRequirement,estimatedDurationMinutes,pointA,pointB,pointC,rating},acts[],summary,cumulativeWeeks,pointACriterion,crew,weeklyHelp,actPointNames}",디테일 로그 전체,"sortLineRows/sortActRows 정렬, buildCrewActSummary 재집계, resolveCrewActResult(PointC>0=미스), formatLineDuration",Detail Log 모달,demoQS 부착 · 끝 슬래시 필수(308 방지),high — 액트 성공/실패를 프론트가 PointC 로 재판정
/cluster-4-card[-ec|-px]/[weekId],POST /api/activity-details · POST /api/activity-details/upload-image,"{success}",라인 제출 내용/이미지 저장,cluster4OutputImages 슬롯0 예약 규칙으로 slice 후 전송,저장 결과,demoUserId 부착,high — 슬롯 예약 규칙 불일치 시 운영진 이미지 덮어씀
/cluster-4-card[-ec|-px]/[weekId],GET /api/edit-windows/permission?resource_key=cluster4.weeklyColleagues&week_id,"{data:{canEdit}}",동료 작성 창,"isDemoMode / session.isAdmin&&!demoUserId 단축 허용, 실패 시 보수적 닫힘",동료 작성 버튼,데모/어드민 단축 경로,high
/cluster-4-card[-ec|-px]/[weekId],GET /api/edit-windows/permission?resource_key=cluster4.weeklyReviews&week_id,"{data:{canEdit}}",주차 리뷰 작성 창,실패 시 시간창 fallback,리뷰 작성 버튼,데모/어드민 단축 경로,high — 권한 실패 시 시간창 폴백(모달 열림+403 유발 이력)
/cluster-4-card[-ec|-px]/[weekId],GET /api/edit-windows/permission?resource_key=cluster4.weeklyReputation&week_id,"{data:{canEdit}}",평판 작성 창,실패 시 시간창 fallback,평판 작성 버튼,데모/어드민 단축 경로,high
/cluster-4-card[-ec|-px]/[weekId],GET /api/reputation-keywords,data[],키워드 목록,데모면 로컬 상수,키워드 드롭다운,데모 모드 API 스킵,low
/cluster-4-card[-ec|-px]/[weekId],GET /api/help-contents · /api/help-contents/{key},"{contents}",도움말 본문,module-level inflight 캐시,도움말 모달,none,low
/cluster-4-card[-ec|-px]/[weekId],GET /api/auth/check-status,"{status}",승인 상태,불리언화,편집 게이트,세션 전용,low
/cluster-5[-ec|-px],-,-,없음(공사중 정적),-,공사중 배경 + 텍스트,none,low
/cluster-6[-ec|-px],-,-,없음(공사중 정적),-,공사중 배경 + 텍스트,none,low
/cluster-7[-ec|-px],-,-,없음(공사중 정적),-,공사중 배경 + 텍스트,none,low
/cluster-8[-ec|-px],-,-,없음(공사중 정적),-,공사중 배경 + 텍스트,none,low
/cluster-9[-ec|-px],-,-,없음(공사중 정적),-,공사중 배경 + 텍스트,none,low
/cluster-10[-ec|-px],-,-,없음(공사중 정적),-,공사중 배경 + 텍스트,none,low
/crews,GET /api/crews?org&page&pageSize&name&school&status,"{success,data[]:{id,name,gender,age,profileImg,university,major,team,part,nickname,club,className,universityMajor,status,growthStatus,displayGrowthStatus,totalStars,approvedWeeks,successWeeks,organizationSlug},total,filteredTotal}",크루 카드 목록,"organizationSlug===org 재필터, statusLabel(displayGrowthStatus==='graduated'?'활동 졸업':'활동 중') 2분류 축약, toStarCount 방어적 숫자화, [team,club] 중 첫 유효값",크루 카드 그리드 + 페이지네이션,mode=test URL 전파 비활성(주석) — 스코프는 배포 env,high — 10종 성장상태를 2종으로 축약 표시(의미 축소) · fallback graft 가 stale 노출 이력
/crews,-,-,이름/학교/학과/나이 마스킹,useDataMasking(mask.crewName/school/major),카드 텍스트,비로그인 전체 마스킹 · 로그인/데모 raw,high — 마스킹이 클라이언트 단일 게이트
/weekly-ranking,GET /api/weekly-league?org&seasonKey,"{success,cards[]:WeeklyCardData{id,seasonName,dateRangeText,leagueResultStatus,leagueRecordStatus,resultConfirmed,restReason,imageUrl,pointACriterion,growthSuccessRate,growthChallengeRate,totalCrews,growthChallenge,growthSuccess,growthFail,personalRest,winningTeamImage,top3[]}}",주차 리그 집계 카드,"getSeasonFilterValue/parseYearSeason 로 시즌 옵션 재구성, isConfirmed=resultConfirmed ?? (record==='공표 중'||'검수 완료'), isTallying 분기로 값 대신 'N' 표시, isOngoing 시 진행바 0",주차 리그 카드 리스트,mode/actAs URL 무관(서버 readScopeMode=배포 env),high — 확정 여부를 프론트가 문자열 매칭으로 재판정
/weekly-ranking/[weekId],GET /api/weekly-league?org&seasonKey,"동일 cards[] 중 id 일치 1건 (+teams[],top10,top10Focus,top10Growth,weeklyLeagueMvp,crewRankShowcase,cluvActivityFlow,weeklyComment,heroImage,representativeImage,seasonRest)",주차 상세 전 항목,리스트와 동일 로더/URL 재사용 · id 매칭만,상세 페이지 전 섹션,동일,medium — 리스트 응답에 없는 weekId 는 notfound
/vacation,GET /api/vacation?org,"{viewerOrg,eligibleWeeks[]:{weekId,weekNumber,seasonKey,seasonType,startDate,endDate},myApplications[]:{groupId,displayStatus,category,weeks[],spanStart,spanEnd,reason,createdAt,cancelState},summary:{fulfilledWeeks,upcomingWeeks}}",휴식 신청 가능 주차 · 내 신청 내역 · 요약,"contiguousPrefix() 로 연속 주차만 유지, MAX_VACATION_WEEKS 검증, addDaysIso 7일 간격 판정",휴식 신청 폼 + 내역 목록,demo.appendDemoUserParams 로 demoUserId 부착,medium — 연속성 검증이 프론트 재계산(서버도 검증)
/vacation,POST/DELETE /api/vacation,"{success}",신청/취소,cancelState 기반 사전 차단 문구,팝업,demoUserId 부착,medium
/sign-in,POST /api/members/find,"{...FindResult}",기존 회원 조회 결과,없음,회원 찾기 모달 결과,none,medium — vraxium 프록시 + admin 조회 2-repo 배포 의존
/sign-up,-,-,NextAuth 소셜 로그인만,-,로그인 버튼,none,low
/auth/post-login,GET /api/auth/check-status,"{success,status}",승인 상태,status 별 라우팅 분기,리다이렉트,세션 전용,low
/auth/access,-,-,정적 안내,-,안내 문구,none,low
/profile,-,-,벤더 템플릿 정적(더미),-,정적 탭,none,low
/public-profile,-,-,벤더 템플릿 정적(더미),-,정적 탭,none,low
/leaderboard,-,-,벤더 템플릿 정적(더미),-,정적 표,none,low
/badges,-,-,벤더 템플릿 정적(더미),-,정적 배지,none,low
/chat,-,-,벤더 템플릿 정적,-,정적,none,low
/blog · /blog/[id],-,-,벤더 템플릿 정적,-,정적,none,low
/shop · /shop/[id],-,-,벤더 템플릿 정적,-,정적,none,low
/games · /games/[slug],-,-,벤더 템플릿 정적(일부는 /crews 로 redirect),-,정적,none,low
/tournaments · /tournaments/[id],-,-,벤더 템플릿 정적,-,정적,none,low
/package · /package/[id],-,-,벤더 템플릿 정적,-,정적,none,low
/about-us · /faq · /contact-us · /checkout,-,-,벤더 템플릿 정적,-,정적,none,low
/nftg-original · /nftg-original/two,-,-,벤더 템플릿 정적,-,정적,none,low
/404,-,-,정적,-,정적,none,low
